Hash;Geschlecht;Nachname;Vorname;Strasse;PLZ;Ort;Land;Email;TEL_P;Home-Page;Portraet;;;;;;;;;;;
212;Frau;Spieser;Koebi;Jaegerpfad 13;8853;Lachen;CH;koebi.spieser@gmail.ch;055 442 11 40;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_11.jpg;;;;;;;;;;;
213;Herr;Spoerri;Kenneth;Kantonsstr. 110;8806;Baech;CH;kenneth.spoerri@gmail.ch;044 784 33 74;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_12.jpg;;;;;;;;;;;
214;Verein;Sportverband;Katharina;Kantonstrasse 9;8854;Siebnen;CH;katharina.sportverband@gmail.ch;055 685 88 77;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_1.jpg;;;;;;;;;;;
220;Herr;Summermatter;Kaspar;Kapellstrasse 17;8853;Lachen;CH;kaspar.summermatter@gmail.ch;055 442 23 61;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_2.jpg;;;;;;;;;;;
223;Familie;Van Aelst;Kaspar;Kirchstr. 62;8852;Altendorf;CH;kaspar.van aelst@gmail.ch;055 442 47 34;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_3.jpg;;;;;;;;;;;
226;Verein;Verkehrsverein;Karl;Kreuzstattstrasse 8;8853;Lachen;CH;karl.verkehrsverein@gmail.ch;044 920 11 22;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_4.jpg;;;;;;;;;;;
227;Frau;Walker;Karl;Landsgemeindeweg 18;8854;Galgenen;CH;karl.walker@gmail.ch;055 440 10 47;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_5.jpg;;;;;;;;;;;
228;Familie;Waelti;Karl;Langacker 11;8834;Schindellegi;CH;karl.waelti@gmail.ch;044 784 21 67;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_6.jpg;;;;;;;;;;;
229;Frau;Waelti;Karl;Langacker 14;8834;Schindellegi;CH;karl.waelti@gmail.ch;044 784 21 67;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_7.jpg;;;;;;;;;;;
230;Frau;Weber;Karl;Langacker 17;8853;Lachen;CH;karl.weber@gmail.ch;055 442 15 87;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_8.jpg;;;;;;;;;;;
231;Familie;Weber;Justin;Langackerweg 15 B;8853;Lachen;CH;justin.weber@gmail.ch;055 442 15 87;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_9.jpg;;;;;;;;;;;
232;Herr;Weber;Julian;Langackerweg 21;8853;Lachen;CH;julian.weber@gmail.ch;055 442 15 87;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_10.jpg;;;;;;;;;;;
233;Frau;Wiedenkeller;Judith;Lindenbachstrasse 22;8853;Lachen;CH;judith.wiedenkeller@gmail.ch;055 442 10 48;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_11.jpg;;;;;;;;;;;
234;Herr;Wiedenkeller;Jrma;Maienwies 12;8852;Altendorf;CH;jrma.wiedenkeller@gmail.ch;055 442 59 84;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_12.jpg;;;;;;;;;;;
238;Frau;Winteler;Josy;Marktstrasse 28;8853;Lachen;CH;josy.winteler@gmail.ch;055 442 19 31;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_1.jpg;;;;;;;;;;;
239;Herr;Wuest;Joseph;Marktstrasse 28;8807;Freienbach;CH;joseph.wuest@gmail.ch;055 410 38 54;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_2.jpg;;;;;;;;;;;
240;Frau;Wuhrkorperation;Joseph;Marktstrasse 28;8853;Lachen;CH;joseph.wuhrkorperation@gmail.ch;055 685 88 77;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_3.jpg;;;;;;;;;;;
241;Herr;Zehnder;Josefina;Marktstrasse 28;8855;Wangen;CH;josefina.zehnder@gmail.ch;055 440 22 02;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_4.jpg;;;;;;;;;;;
244;Herr;Ziegler;Josef;Moosbruggerstrasse 5;8854;Siebnen;CH;josef.ziegler@gmail.ch;055 440 35 19;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_5.jpg;;;;;;;;;;;
247;Frau;Dettling;Josef;Mosenbachstrasse  14;8864;Reichenburg;CH;josef.dettling@gmail.ch;044 920 11 22;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_6.jpg;;;;;;;;;;;
248;Herr;Zueger;Josef;Mosenbachstrasse 14;8854;Siebnen;CH;josef.zueger@gmail.ch;055 440 41 21;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_7.jpg;;;;;;;;;;;
250;Frau;Bertenghi;Josef;Mosenbachstrasse 16;8853;Lachen;CH;josef.bertenghi@gmail.ch;055 442 53 25;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_8.jpg;;;;;;;;;;;
252;Frau;Rauchenstein;Josef;Muehle;8853;Lachen;CH;josef.rauchenstein@gmail.ch;055 442 31 75;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_9.jpg;;;;;;;;;;;
255;Frau;Schuetz;Josef;Muehlebachstrasse 1;8853;Lachen;CH;josef.schuetz@gmail.ch;055 442 34 82;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_10.jpg;;;;;;;;;;;
256;Herr;Schuetz;Josef;Muehlestrasse 2;8853;Lachen;CH;josef.schuetz@gmail.ch;044 784 18 39;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_11.jpg;;;;;;;;;;;
257;Frau;Maechler;Josef;Muehlestrasse 2;8853;Lachen;CH;josef.maechler@gmail.ch;055 442 84 53;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_12.jpg;;;;;;;;;;;
258;Familie;Wattenhofer;Josef;Muehlestrasse 2;8852;Altendorf;CH;josef.wattenhofer@gmail.ch;055 442 32 20;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_1.jpg;;;;;;;;;;;
263;Herr;Spycher;Jonathan;Muertschenstrasse 3;8810;Horgen;CH;jonathan.spycher@gmail.ch;044 725 12 96;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_2.jpg;;;;;;;;;;;
264;Familie;Hoffmann;Johanna;Muschelbergweg 10;8853;Lachen;CH;johanna.hoffmann@gmail.ch;055 442 16 57;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_3.jpg;;;;;;;;;;;
265;Frau;Schnyder Hoffmann;Joerg;Nelkenweg 5;8853;Lachen;CH;joerg.schnyder hoffmann@gmail.ch;055 442 16 57;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_4.jpg;;;;;;;;;;;
266;Herr;Hoffmann;Jeanette;Neuheimstrasse 15;8853;Lachen;CH;jeanette.hoffmann@gmail.ch;055 442 16 57;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_5.jpg;;;;;;;;;;;
267;Herr;Hoffmann;Jakob;Neuheimstrasse 34;8853;Lachen;CH;jakob.hoffmann@gmail.ch;055 442 16 57;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_6.jpg;;;;;;;;;;;
268;Herr;Holdener;Jacqueline;Oberdorferstrasse 92;8853;Lachen;CH;jacqueline.holdener@gmail.ch;055 442 82 54;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_7.jpg;;;;;;;;;;;
269;Herr;Holdener;Irene;Oberdorfstrasse 42;8853;Lachen;CH;irene.holdener@gmail.ch;055 442 82 54;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_8.jpg;;;;;;;;;;;
271;Herr;Von Allmen;Ilona;Oberdorfstrasse 42;8863;Buttikon;CH;ilona.von allmen@gmail.ch;055 440 40 31;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_9.jpg;;;;;;;;;;;
273;Familie;Deuber;Ida;Oberdorfstrasse 42;8852;Altendorf;CH;ida.deuber@gmail.ch;055 442 34 82;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_10.jpg;;;;;;;;;;;
274;Herr;Spuehler;Hulda;Oberdorfstrasse 42;8006;Zuerich;CH;hulda.spuehler@gmail.ch;044 784 18 39;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_11.jpg;;;;;;;;;;;
275;Frau;Schuetz;Hermann;Oberdorfstrasse 42;8853;Lachen;CH;hermann.schuetz@gmail.ch;055 442 76 59;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_12.jpg;;;;;;;;;;;
276;Herr;Bissegger;Herbert;Oberdorfstrasse 42;8832;Wollerau;CH;herbert.bissegger@gmail.ch;044 784 09 80;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_1.jpg;;;;;;;;;;;
277;Frau;Rieter;Heinz;Oberdorfstrasse 42;8873;Amden;CH;heinz.rieter@gmail.ch;055 611 16 33;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_2.jpg;;;;;;;;;;;
278;Herr;Bruhin;Heinz;Oberdorfstrasse 44;8856;Tuggen;CH;heinz.bruhin@gmail.ch;055 445 17 92;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_3.jpg;;;;;;;;;;;
279;Frau;Oetiker;Heinrich;Oberdorfstrasse 44;8852;Altendorf;CH;heinrich.oetiker@gmail.ch;055 442 11 10;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_4.jpg;;;;;;;;;;;
280;Herr;Diethelm;Heidi;Oberer Erlenweg 10;8854;Siebnen;CH;heidi.diethelm@gmail.ch;055 440 16 23;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_5.jpg;;;;;;;;;;;
282;Frau;Deuber;Heidi;Obertafletenstrasse 14;8852;Altendorf;CH;heidi.deuber@gmail.ch;055 442 34 82;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_6.jpg;;;;;;;;;;;
284;Herr;Schuler-Bamert;Hedy;Oberwacht;8855;Wangen;CH;hedy.schuler-bamert@gmail.ch;055 440 41 19;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_7.jpg;;;;;;;;;;;
285;Frau;Kumli;Hedy;Oberwacht 7;8867;Niederurnen;CH;hedy.kumli@gmail.ch;055 440 75 54;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_8.jpg;;;;;;;;;;;
291;Frau;Gallati;Hans-Ruedi;Oberwacht 7;8645;Rapperswil-Jona;CH;hans-ruedi.gallati@gmail.ch;055 212 22 79;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_9.jpg;;;;;;;;;;;
292;Familie;Gallati;Hansruedi;Pappelweg 6;8645;Rapperswil-Jona;CH;hansruedi.gallati@gmail.ch;055 212 22 79;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_10.jpg;;;;;;;;;;;
293;Herr;Meier;Hans-Peter;Paulistrasse 28;8852;Altendorf;CH;hans-peter.meier@gmail.ch;052 345 29 63;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_11.jpg;;;;;;;;;;;
294;Frau;Faux;Hanspeter;Paulistrasse 28;8853;Lachen;CH;hanspeter.faux@gmail.ch;055 442 47 14;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_12.jpg;;;;;;;;;;;
295;Herr;Zimmermann;Hansjoerg;Paulistrasse 28;8852;Altendorf;CH;hansjoerg.zimmermann@gmail.ch;055 442 71 29;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_1.jpg;;;;;;;;;;;
296;Familie;Goeldi;Hans;Paulistrasse 32;8853;Lachen;CH;hans.goeldi@gmail.ch;055 442 31 39;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_2.jpg;;;;;;;;;;;
297;Herr;Jud;Hans;Paulistrasse 32;8853;Lachen;CH;hans.jud@gmail.ch;055 442 31 39;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_3.jpg;;;;;;;;;;;
299;Frau;Gansner;Hanny;Perronweg 10;8854;Galgenen;CH;hanny.gansner@gmail.ch;055 440 54 65;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_4.jpg;;;;;;;;;;;
300;Frau;Haeni;Hanni;Pfaeffikonerstrasse 16;8853;Lachen;CH;hanni.haeni@gmail.ch;055 442 26 12;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_5.jpg;;;;;;;;;;;
301;Herr;Schirmer;Gottlieb;Pflanzschulstrasse 36;8864;Reichenburg;CH;gottlieb.schirmer@gmail.ch;055 444 15 80;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_6.jpg;;;;;;;;;;;
302;Herr;Derungs;Gery;Pilgerweg 22 / PF 355;8834;Schindellegi;CH;gery.derungs@gmail.ch;044 784 74 57;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_7.jpg;;;;;;;;;;;
303;Frau;Walker-Kaelin;Gertrud;Postfach;8832;Wilen;CH;gertrud.walker-kaelin@gmail.ch;044 784 28 47;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_8.jpg;;;;;;;;;;;
304;Frau;Thoma;Georges;Postfach 16;8868;Oberurnen;CH;georges.thoma@gmail.ch;055 610 32 18;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_9.jpg;;;;;;;;;;;
305;Frau;Mettler;Georg;Postfach 7364;8311;Bruetten;CH;georg.mettler@gmail.ch;052 345 29 63;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_10.jpg;;;;;;;;;;;
306;Familie;Bieri;Gabi;Postgasse 6;8311;Bruetten;CH;gabi.bieri@gmail.ch;052 345 29 63;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_11.jpg;;;;;;;;;;;
308;Herr;Kistler;Fritz;Quellenstrasse 5;8864;Reichenburg;CH;fritz.kistler@gmail.ch;055 444 15 84;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_12.jpg;;;;;;;;;;;
312;Frau;Zehnder;Friedrich;Rainstrasse 31 B;8855;Wangen;CH;friedrich.zehnder@gmail.ch;055 440 22 02;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_1.jpg;;;;;;;;;;;
313;Frau;Zehnder;Frieda;Rainweg 1;8855;Wangen;CH;frieda.zehnder@gmail.ch;055 440 22 02;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_2.jpg;;;;;;;;;;;
314;Herr;Berger;Fredy;Rathausplatz 4;8640;Rapperswil;CH;fredy.berger@gmail.ch;055 210 46 33;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_3.jpg;;;;;;;;;;;
315;Herr;Betschart;Fredy;Riedenstrasse 56;8852;Altendorf;CH;fredy.betschart@gmail.ch;055 242 91 40;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_4.jpg;;;;;;;;;;;
316;Herr;Maetzler;Fredy;Rietbrunnen 22 b;8853;Lachen;CH;fredy.maetzler@gmail.ch;055 442 13 83;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_5.jpg;;;;;;;;;;;
317;Herr;Stauffacher;Franz;Rohrwis 5;8808;Pfaeffikon;CH;franz.stauffacher@gmail.ch;055 420 23 80;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_6.jpg;;;;;;;;;;;
319;Herr;Kopp;Ferdy;Rosengartenstrasse 7;8807;Freienbach;CH;ferdy.kopp@gmail.ch;055 410 24 14;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_7.jpg;;;;;;;;;;;
320;Herr;Benz;Felix;Ruchweg 12;8853;Lachen;CH;felix.benz@gmail.ch;052 345 29 63;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_8.jpg;;;;;;;;;;;
322;Frau;Bachmann-Schwegler;Felicitas;Saentisstrasse 10;8853;Lachen;CH;felicitas.bachmann-schwegler@gmail.ch;055 442 36 36;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_9.jpg;;;;;;;;;;;
325;Frau;Steiner;Fabian;Schaefliwiese 17;8857;Vorderthal;CH;fabian.steiner@gmail.ch;055 446 17 17;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_10.jpg;;;;;;;;;;;
326;Herr;Marty;Eugen;Schandelnstrasse 10;8853;Lachen;CH;eugen.marty@gmail.ch;055 442 36 42;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_11.jpg;;;;;;;;;;;
327;Herr;Harder;Esther;Schilfstrasse 17;8852;Altendorf;CH;esther.harder@gmail.ch;055 442 30 75;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_12.jpg;;;;;;;;;;;
328;Frau;D' Elsa;Ester;Schubertstrasse 8/1;78655;Dunningen;DE;ester.d' elsa@gmail.ch;052 345 29 63;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_1.jpg;;;;;;;;;;;
329;Herr;Ruoss-Schuler;Erwin;Schuerwiesstrasse 5;8856;Tuggen;CH;erwin.ruoss-schuler@gmail.ch;055 445 21 88;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_2.jpg;;;;;;;;;;;
330;Frau;Buechel;Erwin;Schuerwiesstrasse 5;8853;Lachen;CH;erwin.buechel@gmail.ch;055 442 23 68;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_3.jpg;;;;;;;;;;;
331;Frau;Baertsch;Ernst;Schuetzenstrasse 28;7310;Bad Ragaz;CH;ernst.baertsch@gmail.ch;055 550 15 10;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_4.jpg;;;;;;;;;;;
336;Herr;Foellmi;Erna;Schweighofstrasse 59;8832;Wilen;CH;erna.foellmi@gmail.ch;055 685 88 77;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_5.jpg;;;;;;;;;;;
338;Herr;Betschart;Erika;Seefeldstrasse 29;8855;Wangen;CH;erika.betschart@gmail.ch;046 668 76 76;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_6.jpg;;;;;;;;;;;
341;Herr;Fatzer;Elsbeth;Seefeldstrasse 31;8853;Lachen;CH;elsbeth.fatzer@gmail.ch;055 442 47 20 ;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_7.jpg;;;;;;;;;;;
342;Herr;Betschart;Elsa;Seefeldstrasse 35;8825;Huetten;CH;elsa.betschart@gmail.ch;044 788 21 12;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_8.jpg;;;;;;;;;;;
343;Herr;Nigg;Elisabeth;Seefeldstrasse 35;8863;Buttikon;CH;elisabeth.nigg@gmail.ch;055 444 30 03;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_9.jpg;;;;;;;;;;;
344;Herr;Zimmermann;Edith;Seefeldstrasse 35;8854;Siebnen;CH;edith.zimmermann@gmail.ch;055 440 33 67;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_10.jpg;;;;;;;;;;;
346;Herr;Niederer;Edith;Seefeldstrasse 35;8808;Pfaeffikon;CH;edith.niederer@gmail.ch;055 410 22 06;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_11.jpg;;;;;;;;;;;
347;Herr;Hansen;Edith;Seefeldstrasse 35;8853;Lachen;CH;edith.hansen@gmail.ch;044 920 11 22;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_12.jpg;;;;;;;;;;;
348;Frau;Seitz;Doris;Seefeldstrasse 35;8808;Pfaeffikon;CH;doris.seitz@gmail.ch;055 410 24 92;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_1.jpg;;;;;;;;;;;
350;Herr;Furrer;Doris;Seestrasse;8863;Buttikon;CH;doris.furrer@gmail.ch;055 440 37 92;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_2.jpg;;;;;;;;;;;
351;Herr;Maechler;Doris;Seestrasse 14;8832;Wollerau;CH;doris.maechler@gmail.ch;044 687 86 83;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_3.jpg;;;;;;;;;;;
352;Familie;Schwendeler;Dora;Seestrasse 206;8853;Lachen;CH;dora.schwendeler@gmail.ch;055 442 33 87;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_4.jpg;;;;;;;;;;;
353;Frau;Vitacco;Dominik;Seidenstr. 24c;8047;Zuerich;CH;dominik.vitacco@gmail.ch;044 310 74 19;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_5.jpg;;;;;;;;;;;
354;Familie;Foellmi;Dominik;Sieben-Eichenweg 21;8832;Wilen;CH;dominik.foellmi@gmail.ch;044 784 79 93;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_6.jpg;;;;;;;;;;;
355;Frau;Bono;Dominik;Sieben-Eichenweg 21;8700;Kuesnacht;CH;dominik.bono@gmail.ch;044 920 11 22;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_7.jpg;;;;;;;;;;;
356;Herr;Spiess;Diethelm;Sonnenpark;8853;Tuggen;CH;diethelm.spiess@gmail.ch;055 445 15 75;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_8.jpg;;;;;;;;;;;
357;Herr;Seeholzer;Deisy;Sonnenrain 37;8854;Siebnen;CH;deisy.seeholzer@gmail.ch;055 460 13 40;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_9.jpg;;;;;;;;;;;
358;Frau;Krieg;David;Sonnenwiese 10;8854;Siebnen;CH;david.krieg@gmail.ch;055 440 43 32;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_10.jpg;;;;;;;;;;;
359;Frau;Romer;Dagmar;Sonnewiese 4B;8854;Siebnen;CH;dagmar.romer@gmail.ch;055 550 15 10;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_11.jpg;;;;;;;;;;;
360;Familie;Keller;Cyrill;Sonnmatt 10;8716;Schmerikon;CH;cyrill.keller@gmail.ch;055 685 88 77;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_12.jpg;;;;;;;;;;;
361;Frau;Keller;Corina;Sonnmatt 10;8716;Schmerikon;CH;corina.keller@gmail.ch;046 668 76 76;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_1.jpg;;;;;;;;;;;
362;Familie;Nussbaumer ;Christine;Sonnmattstrasse 4;8853;Lachen;CH;christine.nussbaumer @gmail.ch;055 442 52 35;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_2.jpg;;;;;;;;;;;
363;Frau;Nussbaumer-Holdener;Charlotte;Speerstrasse 2;8853;Lachen;CH;charlotte.nussbaumer-holdener@gmail.ch;055 442 52 35;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_3.jpg;;;;;;;;;;;
364;Herr;Nussbaumer;Caroline;Spielwiese 12;8853;Lachen;CH;caroline.nussbaumer@gmail.ch;055 442 52 35;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_4.jpg;;;;;;;;;;;
365;Frau;Nussbaumer;Caroline;Spreite 12;8853;Lachen;CH;caroline.nussbaumer@gmail.ch;055 442 52 35;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_5.jpg;;;;;;;;;;;
366;Familie;Keller;Carin;Spreite 12;8834;Schindellegi;CH;carin.keller@gmail.ch;044 784 31 08;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_6.jpg;;;;;;;;;;;
367;Frau;Keller;Bruno;Spreite 12;8834;Schindellegi;CH;bruno.keller@gmail.ch;044 784 31 08;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_7.jpg;;;;;;;;;;;
368;Herr;Vaccaro;Bruno;Spreite 5;8853;Lachen;CH;bruno.vaccaro@gmail.ch;056 453  66 44;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_8.jpg;;;;;;;;;;;
369;Herr;Schwyter;Bruno;St. Gallerstr. 89;8853;Lachen;CH;bruno.schwyter@gmail.ch;055 442 22 54;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_9.jpg;;;;;;;;;;;
370;Familie;Schuler;Bruno;St. Gallerstrasse 24;8854;Siebnen;CH;bruno.schuler@gmail.ch;055 440 38 79;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_10.jpg;;;;;;;;;;;
371;Frau;Schuler;Bruno;St. Gallerstrasse 29;8854;Siebnen;CH;bruno.schuler@gmail.ch;055 440 38 79;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_11.jpg;;;;;;;;;;;
372;Familie;Cicoghani;Bruno;Staldenbachstrasse 20;7610;Soglio;CH;bruno.cicoghani@gmail.ch;055 577 56 56;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_12.jpg;;;;;;;;;;;
373;Frau;Cicoghani;Brigitte;Steineggstrasse 33;7610;Soglio;CH;brigitte.cicoghani@gmail.ch;041 987 77 66;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_1.jpg;;;;;;;;;;;
374;Herr;Cicoghani;Brigitta;Steineggstrasse 33;7610;Soglio;CH;brigitta.cicoghani@gmail.ch;044 888 77 66;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_2.jpg;;;;;;;;;;;
375;Frau;Streiff;Brigida;Strandweg;8864;Reichenburg;CH;brigida.streiff@gmail.ch;055 444 18 42;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_3.jpg;;;;;;;;;;;
376;Herr;Staeuble;Bertha;Talbachstrasse 37;8807;Freienbach;CH;bertha.staeuble@gmail.ch;055 410 47 64;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_4.jpg;;;;;;;;;;;
377;Frau;Oettli;Berta;Toedistrasse 3;8853;Lachen;CH;berta.oettli@gmail.ch;055 442 29 41;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_5.jpg;;;;;;;;;;;
378;Frau;Bonnevaux;Berta;Unterer Althof 8a;8708;Maennedorf;CH;berta.bonnevaux@gmail.ch;055 446 55 77;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_6.jpg;;;;;;;;;;;
379;Frau;Keller;Bernadette;Ussberstrasse 27;8834;Schindellegi;CH;bernadette.keller@gmail.ch;044 784 31 08;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_7.jpg;;;;;;;;;;;
380;Herr;Muehlebach;Bernadette;Utzingerstrasse 2;8807;Freienbach;CH;bernadette.muehlebach@gmail.ch;032 557 88 76;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_8.jpg;;;;;;;;;;;
